question,answer,A,B,C,D,Category,Human Accuracy
워킹 셋에 대한 설명으로 틀린 것은?,3,프로세스가 일정 시간 동안 자주 참조하는 페이지들의 집합이다.,"데닝이 제안한 것으로, 프로그램의 Locality 특징을 이용한다.",프로세스가 실행되는 동안 주기억장치를 참조할 때 일부 페이지만 집중적으로 참조하는 성질을 의미한다.,자주 참조되는 워킹 셋을 주기억장치에 상추시킴으로써 페이지 부재 및 페이지 교체 현상을 줄일 수 있다.,Information Technology,0.4847999999999999
로더(Loader)의 기능이 아닌 것은?,2,Link,compile,Allocation,Relocation,Information Technology,0.7631999999999999
로더의 기능이 아닌 것은?,2,할당(allocation),번역(translation),링킹(linking),로딩(loading),Information Technology,0.6175999999999999
프로세서들 사이에 우선순위를 두지 않고 시간단위(Time Quantum)로 CPU를 할당하는 스케줄링 방식은?,2,FIFO,RR,SJF,HRN,Information Technology,0.5
운영체제를 기능별로 분류할 경우 제어 프로그램에 해당하지 않는 것은?,2,감시 프로그램,문제 프로그램,작업 제어 프로그램,자료 관리 프로그램,Information Technology,0.4483
어셈블리어에서 의사 명령에 해당하는 것은?,1,USING,SR,AR,ST,Information Technology,0.8077
어셈블리어에서 어떤 기호적 이름에 상수값을 할당하는 명령은?,1,EQU,ASSUME,ORG,EVEN,Information Technology,0.7692
프로세서들이 서로 작업을 진행하지 못하고 영원히 대기상태로 빠지게 되는 현상을 무엇이라고 하는가?,4,thrashing,working set,semaphore,deadlock,Information Technology,0.7391
교착상태의 해결 방법 중 은행원 알고리즘과 관계되는 것은?,2,예방 기법,회피 기법,발견 기법,회복 기법,Information Technology,0.6087
시스템의 성능평가기준과 가장 거리가 먼 것은?,3,신뢰도,반환 시간,비용,처리 능력,Information Technology,0.7726999999999999
어셈블리 언어를 두 개의 Pass로 구성하는 주된 이유로 가장 적절한 것은?,3,한 개의 Pass만을 사용하는 경우는 프로그램의 크기가 증가하여 유지 보수가 어려움,한 개의 Pass만을 사용하는 경우는 프로그램의 크기가 증가하여 처리 속도가 감소함,한 개의 Pass만을 사용하는 경우는 기호를 모두 정의한 뒤에 해당 기호를 사용해야 함,Pass1과 Pass2를 사용하는 경우는 프로그램이 작아서 경제적임,Information Technology,0.6818000000000001
"언어 번역기에 의하여 생성되는 최종 실행 프로그램이 보다 작은 기억 장소를 사용하여 보다 빠르게 작업을 처리할 수 있도록, 주어진 환경에서 최상의 명령어 코드를 사용하여 작업을 수행할 수 있도록 하는 것을 무엇이라 하는가?",2,Code Integration,Code Optimization,Code Generation,Code Initialization,Information Technology,0.7
프로세스가 일정 시간 동안 자주 참조하는 페이지들의 집합을 무엇이라고 하는가?,4,Locality,Thrashing,Paging,Working Set,Information Technology,0.5714
컴퓨터 언어로 작성된 프로그램이 번역되어 실행되는 과정이 바르게 나열된 것은?,4,loader → linker → compiler,compiler → loader → linker,linker → assembler → loader,compiler → linker → loader,Information Technology,0.8571
데이터를 지우는 방식이 다른 기억소자는?,1,EPROM,EEPROM,NOR 플래시,NAND 플래시,Information Technology,0.6667000000000001
"RS 플립플록에서 R=1, S=1 인 입력 조합의 경우를 방지하기 위하여 보완된 것은?",3,D 플립플롭,T 플립플롭,JK 플립플롭,FF 플립플롭,Information Technology,0.64
메모리 인터리빙을 사용하는 목적은?,4,기억용량 증대,입출력 장치의 증설,전력소모 감소,메모리 엑세스의 효율 증대,Information Technology,0.6957
연산회로에서 반드시 필요한 신호로만 묶여 있는 것은?,1,"덧셈신호, 보수신호, 끝자리올림신호","덧셈신호, 아랫자리올림신호, 곱셈신호","덧셈신호, 끝자리올림신호, 나눗셈신호","덧셈신호, 아랫자리올림신호, 지수신호",Information Technology,0.8
CISC(Complex Instruction Set Computer)와 RISC(Reduced Instruction Set Computer)에 대한 비교 설명으로 옳지 않은 것은?,2,CISC는 명령어와 주소지정 방식을 보다 복잡하게 하여 풍부한 기능을 소유하도록 하고 RISC는 아주 간단한 명령들만 가지고 매우 빠르게 동작하도록 한다.,CISC는 거의 모든 명령어가 레지스터를 대상으로 하며 메모리의 접근을 최소로 하고 RISC는 처리 속도를 증가시키기 위해서 독특한 형태로 다기능을 지원하는 메모리와 레지스터를 대상으로 한다.,CISC는 명령어의 수가 수백 개에서 많게는 수천개로 매우 다양하고 RISC-명령어의 수가 CISC에 비해서 약 30%정도이며 명령어 형식도 최소한 줄였다.,"CISC는 데이터 경로가 메모리로부터 레지스터, ALU, 버스로 연결되는 등 다양하고 RISC-데이터 경로 사이클을 단일화하며 사이클 타임을 최소화한다.",Information Technology,0.5714
"주기억장치가 32K×12 용량이며, 캐시 메모리가 512×12용량이라고 하자. 한 블록의 크기가 8 워드라고 할 때 연관사상(associative mapping)을 한다면 주소의 태그(tag) 필드는 몇 bit인가?",4,9bit,10bit,11bit,12bit,Information Technology,0.5263
짝수 패리티 검출 방식을 알맞게 설명한 것은?,2,2진 정보 속에 있는 0의 개수가 패리티비트를 포함하여 짝수가 되도록 패리티 비트를 부가하는 방식,2진 정보 속에 있는 1의 개수가 패리티비트를 포함하여 짝수가 되도록 패리티 비트를 부가하는 방식,2진 정보 속에 있는 0의 개수가 패리티비트를 제외하고 짝수가 되도록 패리티 비트를 부가하는 방식,2진 정보 속에 있는 1의 개수가 패리티비트를 제외하고 짝수가 되도록 패리티 비트를 부가하는 방식,Information Technology,0.5
사이클 스틸과 인터럽트에 관한 설명으로 옳은 것은?,1,사이클 스틸은 주기억장치의 사이클 타임을 중앙처리장치로부터 DMA가 일시적으로 빼앗는 것으로 중앙처리장치는 주기억장치에 접근할 수 없다.,사이클 스틸은 중앙처리장치의 상태보존이 필요하다.,인터럽트는 중앙처리장치의 상태보존이 필요 없다.,인터럽트는 정전의 경우와는 관계없다.,Information Technology,0.6
"컴퓨터 시스템에 예기치 않는 일이 발생하였을 때, CPU가 처리하고 있던 일을 멈추고, 문제점을 신속히 처리한 후 하던 일을 다시 재귀하는 방식은?",3,인터페이스,제어장치,인터럽트,버퍼,Information Technology,0.6470999999999999
연계 편집 프로그램(linking editor)이 목적 프로그램을 입력으로 읽을 때 출력으로 생성하는 프로그램은?,1,로드 프로그램(load program),유틸리티 프로그램(utility program),매칭 프로그램(matching program),서비스 프로그램(service program),Information Technology,0.6
고수준 언어로 작성된 프로그램을 기계어로 번역하기 위한 프로그램은?,2,에디터,컴파일러,어셈블러,로더,Information Technology,0.625
CPU의 상태 플래그(status flag)에 관한 설명 중 틀린 것은?,4,보조캐리 플래그(auxiliary carry flag)는 BCD 연산에 사용된다.,Z 플래그(zero flag)는 ALU의 연산 결과가 0인지 여부에 따라 셋트 된다.,N 플래그(negative flag)는 ALU 연산 결과가 음수인지 여부에 따라 셋트 된다.,"제일 왼쪽 비트에서 발생되는 올림수를 Cp, 왼쪽의 2번째 비트에서 발생되는 올림수를 Cs라 할 때 오버플로우(overflow) 발생 조건은 Cs+Cp로 주어지게 된다.",Information Technology,0.6
포팅을 통해 리눅스 프로그램/유틸리티를 MS윈도에서 사용할 수 있도록 하는 프로그램은?,1,cygwin,perl,JDK,driver development kit,Information Technology,0.8125
입출력 프로세서와 CPU의 관계에 대한 설명으로 가장 옳은 것은?,3,CPU와 입출력 프로세서는 무관하다.,CPU는 입출력 프로세서에게 입출력 동작을 수행하도록 명령한 후 계속 관여한다.,CPU는 입출력 프로세서에게 입출력 동작을 수행하도록 명령한 후 CPU는 다른 일을 수행한다.,입출력 프로세서는 CPU에게 입출력 동작을 수행하도록 명령한다.,Information Technology,0.5
컴퓨터와 주변 장치 사이에서 데이터 전송시에 입출력 주기나 완료를 나타내는 2개의 제어 신호를 사용하여 데이터 입출력을 하는 방식은?,4,strobe 방법,polling 방법,interrupt 방법,handshaking 방법,Information Technology,0.4706
프로그램 입·출력 동작에 대한 설명으로 가장 옳지 않은 것은?,4,직접 I/O 또는 polled I/O 같은 데이터 전송이다.,마이크로프로세서에 의해 제어된다.,데이터 전송은 명령이나 입·출력 서브루틴에 의해 실행된다.,마이크로프로세서가 아닌 별도의 제어기에 의해 제어된다.,Information Technology,0.6429
하드디스크 또는 광학드라이브와의 데이터 전송을 목적으로 직렬연결을 이용한 컴퓨터 버스는?,4,UART,RLL,IDE,SATA,Information Technology,0.4375
데이터의 특정 부분을 제거(clear)하기 위해 사용되는 명령어는?,1,AND,OR,Complement,Shift,Information Technology,0.625
대부분의 마이크로프로세서 CPU 소켓 인터페이스는 어떤 구조를 기반으로 하는가?,1,PGA 구조,DIP 구조,BGA 구조,LGA 구조,Information Technology,0.5
파이프라인 프로세서의 설명 중 가장 적합한 것은?,3,다중 프로그래밍 시스템의 프로세서,제어 메모리가 분리된 프로세서,2개 이상의 명령어를 동시에 수행할 수 있는 프로세서,분산 기억장치 시스템의 프로세서,Information Technology,0.5333
8진 카운터를 구성하고자 할 경우 최소 몇 개의 JK 플립플롭이 필요한가?,1,3개,4개,8개,16개,Information Technology,0.4468
T 플립플롭 3개를 종속 접속한 후 입력주파수 800Hz를 인가하면 출력주파수는?,4,8Hz,10Hz,80Hz,100Hz,Information Technology,0.5294
16진수 AF63을 8진수로 나타내면?,4,135713,152734,147325,127543,Information Technology,0.5882000000000001
직렬 또는 병렬방식 레지스터 전송에 대한 설명으로 가장 옳지 않은 것은?,2,직렬방식은 데이터를 전송할 때 많은 시간이 필요하다.,병렬방식은 하드웨어 규모가 간단하다.,직렬방식은 클록펄스에 의해 한번에 1bit씩 자리 이동한다.,병렬방식은 모든 bit의 데이터를 한번의 클록펄스에 모두 전송시킨다.,Information Technology,0.4138
"A1, B1은 첫 번째 A와 B의 입력 값이고, A2, B2는 두 번째 A와 B의 입력 값일 경우(A1,A2) =＞ (A2,B2) 형식으로 표현한다. A+B를 계산하는 4비트 리플 캐리 가산기(4bit ripple carry adder)의 캐리 아웃(carry out)의 최대 지연시간을 측정하기 위해서는 입력 패턴을 어떻게 주어야 하는가?",3,"(0000, 0111) ⇒ (0000, 1000)","(1010, 0111) ⇒ (1011, 0111)","(1010, 0101) ⇒ (1011, 0101)","(1111, 0000) ⇒ (1111, 1111)",Information Technology,0.4375
전가산기(Full Adder)의 구성은?,1,"반가산기 2개, OR 게이트 1개","반가산기 2개, OR 게이트 2개","반가산기 2개, AND 게이트 1개","반가산기 2개, AND 게이트 2개",Information Technology,0.5882000000000001
4입력 디코더(decoder)는 최대 몇 개의 출력을 낼 수 있나?,3,4,8,16,256,Information Technology,0.6667000000000001
자기 보수 코드(self complementing code)가 아닌 것은?,1,5중 2 코드,2421 코드,3-초과 코드,51111 코드,Information Technology,0.5
프로토콜의 기본 구성 요소가 아닌 것은?,1,entity,syntax,semantic,timing,Information Technology,0.5
16상 위상변조의 변조속도가 1200baud인 경우 데이터 전송 속도(bps)는?,3,1200,2400,4800,9600,Information Technology,0.7333
Stop-and-wait ARQ 방식에서 수신측이 4번 프레임에 대해 NAK를 보내왔다. 이에 대한 송신측의 행위로 옳은 것은?,4,"1, 2, 3, 4번 프레임을 재전송 한다.",현재의 윈도우 크기만큼을 모두 전송한 후 4번 프레임을 재전송 한다.,5번 프레임부터 모두 재전송 한다.,4번 프레임만 재전송 한다.,Information Technology,0.7857
OSI-7 계층의 전송계층에서 사용되는 프로토콜은?,4,FTP,SMTP,HTTP,UDP,Information Technology,0.5385
IEEE 802.4의 표준안 내용으로 맞는 것은?,1,토큰 버스 LAN,블루투스,CSMA/CD LAN,무선 LAN,Information Technology,0.6
10.0.0.0 네트워크 전체에서 마스크 255.240.0.0를 사용할 경우 유효한 서브넷 ID는?,2,10.1.16.9,10.16.0.0,10.27.32.0,10.0.1.32,Information Technology,0.4286
"자동재전송요청(ARQ)기법 중 데이터 프레임을 연속적으로 전송해 나가다가 NAK를 수신하게 되면, 오류가 발생한 프레임 이후에 전송된 모든 데이터 프레임을 재전송하는 방식은?",3,Selective-Repeat,Stop-and-wait,Go-back-N,Turbo Code,Information Technology,0.7143
